Unternehmen,Standort,Bundesland,Latitude,Longitude,Subsector,Product,Process Chain,Process,Kapazität (Mio. t Rohstahl/yr),Quelle Standort,Quelle Kapazität,Variable,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ArcelorMittal Bremen GmbH,Bremen,Bremen,53.12493044,8.68672853,Iron and Steel,Crude Steel,BF-BOF,BF-BOF,3.8,https://corporate.arcelormittal.com/,https://www.eurofer.eu/assets/Uploads/Slide2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,3.3,3.6,3.2,3.4,3.1,2.8,3.3,
Hüttenwerke Krupp Mannesmann GmbH,Duisburg,Nordrhein-Westfalen,51.36823117,6.712267332,Iron and Steel,Crude Steel,BF-BOF,BF-BOF,5.2,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,Altersstruktur Excel,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,5.1,4.6,3.8,4.7,4.4,4.3,3.5,4.6,
ArcelorMittal Duisburg GmbH,Duisburg,Nordrhein-Westfalen,53.52478497,9.900051078,Iron and Steel,Crude Steel,BF-BOF,BOF,1.3,https://corporate.arcelormittal.com/,https://globalenergymonitor.org/projects/global-steel-plant-tracker/tracker-map/,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,1.2,1.3,1.1,1.1,0.9,0.9,1,
ThyssenKrupp Steel Europe AG,Duisburg,Nordrhein-Westfalen,51.5036903,6.735907484,Iron and Steel,Crude Steel,BF-BOF,BF-BOF,11.7,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,Altersstruktur Excel,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,9.3,9.7,9.75,9.605,9.1,8.1,8.6,
ArcelorMittal Eisenhüttenstadt GmbH,Eisenhüttenstadt,Brandenburg,52.16614052,14.61768224,Iron and Steel,Crude Steel,BF-BOF,BF-BOF,2.4,https://corporate.arcelormittal.com/,https://www.eurofer.eu/assets/Uploads/Slide2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,2.3,1.9,2.2,2.1,2,1.9,1.9,
Salzgitter Flachstahl GmbH,Salzgitter,Niedersachsen,52.15476492,10.40307531,Iron and Steel,Crude Steel,BF-BOF,BF-BOF,5.2,https://www.salzgitter-ag.com/de/investor-relations/news-publikationen/berichte.html,https://www.eurofer.eu/assets/Uploads/Slide2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,4.681,4.221,4.563,4.492,4.551,4.321,4.168,4.341,
ROGESA Roheisengesellschaft Saar mbH,Dillingen/Völklingen,Saarland,49.35213699,6.743652603,Iron and Steel,Crude Steel,BF-BOF,BF-BOF,6,https://www.dillinger.de/d/de/corporate/dillinger/daten/index.shtml; https://www.saarstahl.com/sag/de/konzern/medien/publikationen/geschaeftsberichte/index.shtml,https://www.eurofer.eu/assets/Uploads/Slide2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,5.01,5.108,4.661,5.306,5.116,4.519,3.695,4.964,
DK Recycling und Roheisen GmbH,Duisburg,Nordrhein-Westfalen,51.42228298,6.741991278,Iron and Steel,Crude Steel,BF-BOF,BF-BOF,0.28,https://www.dk-duisburg.de/wp-content/uploads/Artikel-Steelmaking-2014.pdf,https://www.dk-duisburg.de/wp-content/uploads/Artikel-Steelmaking-2014.pdf,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
Georgsmarienhütte Holding,Bous,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.35,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,0.2,,,
Brandenburger Elektrostahlwerk/Riva,Brandenburg,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1.8,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,1.4,1.1,,,1.2,,,
-,Engelskirchen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
BGH Edelstahl,Freital,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.09,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,0.2,,,
Georgsmarienhütte Holding,Georgsmarienhütte,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1.1,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,0.8,,,
Georgsmarienhütte Holding,Gröditz,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.1,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,0.1,,,
ArcelorMittal,Hamburg,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1.1,https://corporate.arcelormittal.com/,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,1,1,1,0.9,0.9,0.9,0.9,
-,Hanau,,,,Iron and Steel,Crude Steel,Scrap-EAF,,,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
Hennigsdorfer Elektrostahlwerk/Riva,Hennigsdorf,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,0.8,0.7,,,0.9,,,
Lech-Stahlwerke,Herbertshofen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1.18,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,1.1,1.2,,,1.1,,,
Badische Stahlwerke,Kehl,,,,Iron and Steel,Crude Steel,Scrap-EAF,,2.5,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,2.2,2.4,,,2,,2.1,
Benteler,Lingen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.62,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,0.5,0.6,,,0.6,,,
Salzgitter,Peine,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1,https://www.salzgitter-ag.com/de/investor-relations/news-publikationen/berichte.html,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,1.039,1.053,1.091,1.077,1.003,1.021,1.038,
ESF Elbe-Stahlwerke Feralpi,Riesa,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.9,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,0.9,1,,,0.9,,,
BGH Edelstahl,Siegen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.15,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,0.2,,,
Deutsche Edelstahlwerke/Swiss Steel,Siegen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.6,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,0.3,,,
Stahlwerk Thüringen/CSN-Gruppe,Unterwellenborn,,,,Iron and Steel,Crude Steel,Scrap-EAF,,1.1,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,0.8,0.8,,,0.8,,,
Saarstahl,Völklingen,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.3,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
-,Werdohl,,,,Iron and Steel,Crude Steel,Scrap-EAF,,,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
Buderus Edelstahl,Wetzlar,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.4,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,0.3,0.3,,,0.3,,,
-,Wiehl,,,,Iron and Steel,Crude Steel,Scrap-EAF,,,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
Deutsche Edelstahlwerke/Swiss Steel,Witten,,,,Iron and Steel,Crude Steel,Scrap-EAF,,0.48,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,https://www.eurofer.eu/assets/Uploads/Slide3-v2.PNG,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,0.4,,,
-,Witten,,,,Iron and Steel,Crude Steel,Scrap-EAF,,,https://www.stahl-online.de/wp-content/uploads/WV-Stahl_Fakten-2021_RZ_Web_neu.pdf,,Produktionsmenge Rohstahl,Mt/yr,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
